mg,hour,time_index,load,wind,pv,price_grid,price_mg,latent_cg,latent_ba,cg_raw,ba_raw,p_cg,p_ba,soc_before,soc_after,p_loss,p_de,unbalanced,cg_cost,ba_cost,imbalance_cost,reward,mg_import,mg_export,grid_power,transaction_expense,balance_residual,obs_load,obs_wind,obs_pv,obs_soc,obs_price,sold_to_mg1,sold_to_mg2,sold_to_mg3,run_id,seed,config_hash,iteration,stage,algorithm,scenario,checkpoint_sha256
1,1,0,457.7,51.48,0.0,8.65,4.33,4.225222587585449,0.849358081817627,199.95724809789834,34.536698411616406,199.95724809789834,34.536698411616406,0.5,0.1354558061935115,5.719478930190295,177.44553242067553,-177.44553242067553,1530.6169577617427,816.4071201737913,1534.9038554388435,-737.6472165061903,78.95008780258861,0.0,98.49544461808692,1193.8394761316606,0.0,447.3,44.12,0.0,0.5,8.87,0.0,0.0,0.0,inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,1500,pre_fed,F-MADRL,deterministic,da6d509ce9b1ab973ae4a8e7710ddc1e233ea53728e643e80be14e75e70f672a
2,1,0,110.5,51.48,0.0,8.65,4.33,-0.6458529829978943,0.5112762451171875,60.35797553858982,23.546949533095045,60.35797553858982,23.546949533095045,0.5,0.25113737333584163,2.707698501433697,-22.17722657025115,22.17722657025115,735.5207486636793,746.1022659417936,191.83300983267245,-115.95731471681206,0.0,22.17722657025115,0.0,-96.02739104918749,0.0,119.6,44.12,0.0,0.5,8.87,22.17722657025115,0.0,0.0,inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,1500,pre_fed,F-MADRL,deterministic,da6d509ce9b1ab973ae4a8e7710ddc1e233ea53728e643e80be14e75e70f672a
3,1,0,124.71,51.48,0.0,8.65,4.33,0.14908871054649353,0.39789244532585144,114.7993823827963,18.907210711425616,114.7993823827963,18.907210711425616,0.5,0.2999767293534146,3.7037318618844384,-56.77286123233746,56.77286123233746,900.1839445010255,729.5885505518646,491.08524965971907,-253.58381224793138,0.0,56.77286123233746,0.0,-245.82648913602122,0.0,134.98,44.12,0.0,0.5,8.87,56.77286123233746,0.0,0.0,inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,1500,pre_fed,F-MADRL,deterministic,da6d509ce9b1ab973ae4a8e7710ddc1e233ea53728e643e80be14e75e70f672a
1,2,1,336.5,38.37,0.0,8.11,4.06,4.151191711425781,0.8334513902664185,199.95042724798742,34.116244440580665,199.95042724798742,3.342564985206825,0.1354558061935115,0.1,4.833259844663885,99.67026761146963,-99.67026761146963,1530.5558480473749,1033.6942089969707,808.3258703290186,-415.03164278894525,55.95099858289382,0.0,43.71926902857581,581.7243260682986,0.0,457.7,51.48,0.0,0.1354558061935115,8.65,0.0,0.0,0.0,inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,1500,pre_fed,F-MADRL,deterministic,da6d509ce9b1ab973ae4a8e7710ddc1e233ea53728e643e80be14e75e70f672a
2,2,1,109.85,38.37,0.0,8.11,4.06,-0.5668529272079468,0.45301929116249084,68.17379720926316,21.21888506566244,68.17379720926316,14.310334365971142,0.25113737333584163,0.1,2.417082631504686,-8.587048943729613,8.587048943729613,787.5494345056807,1007.6612870302954,69.64096693364715,-67.24264955086073,0.0,8.587048943729613,0.0,-34.863418711542224,0.0,110.5,51.48,0.0,0.25113737333584163,8.65,8.587048943729613,0.0,0.0,inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,1500,pre_fed,F-MADRL,deterministic,da6d509ce9b1ab973ae4a8e7710ddc1e233ea53728e643e80be14e75e70f672a
3,2,1,123.98,38.37,0.0,8.11,4.06,0.1796099692583084,0.39307594299316406,117.77031801268956,18.700446925233116,117.77031801268956,18.700446925233116,0.2999767293534146,0.10252996615541174,3.4968152987584533,-47.363949639164204,47.363949639164204,924.0091017994215,1012.7966913196249,384.12163157362164,-211.59085007051067,0.0,47.363949639164204,0.0,-192.29763553500666,0.0,124.71,51.48,0.0,0.2999767293534146,8.65,47.363949639164204,0.0,0.0,inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,1500,pre_fed,F-MADRL,deterministic,da6d509ce9b1ab973ae4a8e7710ddc1e233ea53728e643e80be14e75e70f672a
1,3,2,274.9,43.56,0.0,8.25,4.13,3.911712884902954,0.7830238938331604,199.9199823922262,32.72194590468722,199.9199823922262,-0.02105263157894797,0.1,0.1,4.8691785952129445,36.3102488345657,-36.3102488345657,1530.283094097169,1052.5389067811634,299.559552885167,-186.4582388158918,36.3102488345657,0.0,0.0,149.96132768675633,0.0,336.5,38.37,0.0,0.1,8.11,0.0,0.0,0.0,inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,1500,pre_fed,F-MADRL,deterministic,da6d509ce9b1ab973ae4a8e7710ddc1e233ea53728e643e80be14e75e70f672a
2,3,2,112.45,43.56,0.0,8.25,4.13,-0.42491358518600464,0.37260347604751587,83.85135184759154,17.813342233677627,83.85135184759154,-0.02105263157894797,0.1,0.1,2.547805984320252,-12.392493231692342,12.392493231692342,894.7116524650013,1090.2561177506923,102.23806916146182,-85.7064865269717,0.0,12.392493231692342,0.0,-51.18099704688937,0.0,109.85,38.37,0.0,0.1,8.11,12.392493231692342,0.0,0.0,inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,1500,pre_fed,F-MADRL,deterministic,da6d509ce9b1ab973ae4a8e7710ddc1e233ea53728e643e80be14e75e70f672a
3,3,2,126.91,43.56,0.0,8.25,4.13,0.2607972323894501,0.41020485758781433,125.50410597117994,19.432330434586873,125.50410597117994,0.22086609119458686,0.10252996615541174,0.1,3.3856994412474903,-38.98927262112704,38.98927262112704,986.8160215409945,1126.5414505505682,321.6614991242981,-187.0148240477654,0.0,23.917755602873356,-15.071517018253687,-98.78033063986696,0.0,123.98,38.37,0.0,0.10252996615541174,8.11,23.917755602873356,0.0,0.0,inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,1500,pre_fed,F-MADRL,deterministic,da6d509ce9b1ab973ae4a8e7710ddc1e233ea53728e643e80be14e75e70f672a
1,4,3,272.6,40.75,0.0,8.1,4.05,3.8606693744659424,0.7711248993873596,199.91138592296284,32.379154178236455,199.91138592296284,-0.02105263157894797,0.1,0.1,4.812806665827678,36.77247337444382,-36.77247337444382,1530.2060814746296,1052.5389067811634,297.85703433299494,-185.69056521496358,36.77247337444382,0.0,0.0,148.92851716649747,0.0,274.9,43.56,0.0,0.1,8.25,0.0,0.0,0.0,inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,1500,pre_fed,F-MADRL,deterministic,da6d509ce9b1ab973ae4a8e7710ddc1e233ea53728e643e80be14e75e70f672a
